model,experiment,cleaning_level,cleaning_name,accuracy,precision,recall,f1,n_samples_before,n_samples_after,rows_dropped,cleaning_time,eval_time
HistGradientBoosting,all_corruptions,3,3_Cleaned_Cleanlab,0.7298732442617335,0.7298361335417696,0.7298732442617335,0.7297208299064706,22000,19459,2541,69.10773086547852,1.2431015968322754
HistGradientBoosting,baseline,0,0_Baseline,0.8348333333333333,0.8364347961231803,0.8348333333333333,0.8347686839532441,20000,20000,0,0,0.9746847152709961
HistGradientBoosting,all_corruptions,1,1_Corrupted_Numerical,0.7985,0.8046226757516197,0.7985,0.7978446947127443,20000,22000,-2000,0.24598979949951172,1.2041659355163574
HistGradientBoosting,all_corruptions,1,1_Corrupted_All,0.7811666666666667,0.7846241793045625,0.7811666666666667,0.7808113116906917,20000,22000,-2000,0,1.8466651439666748
HistGradientBoosting,all_corruptions,2,2_Cleaned_NoCleanlab,0.6579809642689968,0.6579747557459189,0.6579809642689968,0.6577838173934984,22000,21361,639,55.993009090423584,0.8562135696411133
HistGradientBoosting,all_corruptions,3,3_Cleaned_Cleanlab,0.728397182614671,0.7290153063127153,0.728397182614671,0.7283913632422143,22000,19401,2599,59.309760093688965,0.9738519191741943
HistGradientBoosting,baseline,0,0_Baseline,0.8348333333333333,0.8364347961231803,0.8348333333333333,0.8347686839532441,20000,20000,0,0,0.8616585731506348
HistGradientBoosting,all_corruptions,1,1_Corrupted_Numerical,0.8021666666666667,0.8066583751692358,0.8021666666666667,0.8017394878214155,20000,22000,-2000,0.1917271614074707,1.173375129699707
HistGradientBoosting,all_corruptions,1,1_Corrupted_All,0.784,0.7876761326772812,0.784,0.7836218041447137,20000,22000,-2000,0,1.1672022342681885
HistGradientBoosting,all_corruptions,2,2_Cleaned_NoCleanlab,0.6496327551179872,0.6500241257569627,0.6496327551179872,0.6494010605137062,22000,21329,671,39.07015919685364,0.7399520874023438
HistGradientBoosting,all_corruptions,3,3_Cleaned_Cleanlab,0.7198774676650783,0.7198856317853586,0.7198774676650783,0.7198814662969789,22000,19585,2415,47.39654183387756,0.7989003658294678
HistGradientBoosting,baseline,0,0_Baseline,0.8348333333333333,0.8364347961231803,0.8348333333333333,0.8347686839532441,20000,20000,0,0,1.051586627960205
HistGradientBoosting,all_corruptions,1,1_Corrupted_Numerical,0.7995,0.8037178233769873,0.7995,0.7990983450277475,20000,22000,-2000,0.2674741744995117,1.2417969703674316
HistGradientBoosting,all_corruptions,1,1_Corrupted_All,0.7801666666666667,0.7837859945728378,0.7801666666666667,0.7797849114619145,20000,22000,-2000,0,1.162370204925537
HistGradientBoosting,all_corruptions,2,2_Cleaned_NoCleanlab,0.6501485071127091,0.6508193765083629,0.6501485071127091,0.6499683984090594,22000,21323,677,57.6417453289032,0.8765323162078857
HistGradientBoosting,all_corruptions,3,3_Cleaned_Cleanlab,0.724961079398028,0.7276587112430697,0.724961079398028,0.7252408080351989,22000,19269,2731,85.67615962028503,1.346132755279541
HistGradientBoosting,baseline,0,0_Baseline,0.8348333333333333,0.8364347961231803,0.8348333333333333,0.8347686839532441,20000,20000,0,0,1.072883129119873
HistGradientBoosting,all_corruptions,1,1_Corrupted_Numerical,0.797,0.8018121212121212,0.797,0.7965120192307692,20000,22000,-2000,0.27851128578186035,3.3542373180389404
HistGradientBoosting,all_corruptions,1,1_Corrupted_All,0.7801666666666667,0.7835736236897431,0.7801666666666667,0.7798157588130538,20000,22000,-2000,0,1.306579351425171
HistGradientBoosting,all_corruptions,2,2_Cleaned_NoCleanlab,0.6609904702390251,0.6614368291195947,0.6609904702390251,0.6603417766689935,22000,21336,664,55.831318855285645,0.8142187595367432
HistGradientBoosting,all_corruptions,3,3_Cleaned_Cleanlab,0.7232233934036042,0.7231876025984089,0.7232233934036042,0.7231971336328612,22000,19604,2396,63.2225821018219,1.3648197650909424
